id,image_path,letter_label
1,handwriting_letters/images/w_0000.png,w
2,handwriting_letters/images/g_0001.png,g
3,handwriting_letters/images/p_0002.png,p
4,handwriting_letters/images/o_0003.png,o
5,handwriting_letters/images/w_0004.png,w
6,handwriting_letters/images/q_0005.png,q
7,handwriting_letters/images/m_0006.png,m
8,handwriting_letters/images/k_0007.png,k
9,handwriting_letters/images/v_0008.png,v
10,handwriting_letters/images/x_0009.png,x
11,handwriting_letters/images/j_0010.png,j
12,handwriting_letters/images/n_0011.png,n
13,handwriting_letters/images/r_0012.png,r
14,handwriting_letters/images/u_0013.png,u
15,handwriting_letters/images/z_0014.png,z
16,handwriting_letters/images/u_0015.png,u
17,handwriting_letters/images/u_0016.png,u
18,handwriting_letters/images/x_0017.png,x
19,handwriting_letters/images/s_0018.png,s
20,handwriting_letters/images/e_0019.png,e
21,handwriting_letters/images/b_0020.png,b
22,handwriting_letters/images/y_0021.png,y
23,handwriting_letters/images/i_0022.png,i
24,handwriting_letters/images/e_0023.png,e
25,handwriting_letters/images/j_0024.png,j
26,handwriting_letters/images/u_0025.png,u
27,handwriting_letters/images/k_0026.png,k
28,handwriting_letters/images/x_0027.png,x
29,handwriting_letters/images/l_0028.png,l
30,handwriting_letters/images/a_0029.png,a
31,handwriting_letters/images/q_0030.png,q
32,handwriting_letters/images/i_0031.png,i
33,handwriting_letters/images/a_0032.png,a
34,handwriting_letters/images/x_0033.png,x
35,handwriting_letters/images/r_0034.png,r
36,handwriting_letters/images/a_0035.png,a
37,handwriting_letters/images/h_0036.png,h
38,handwriting_letters/images/d_0037.png,d
39,handwriting_letters/images/a_0038.png,a
40,handwriting_letters/images/i_0039.png,i
41,handwriting_letters/images/g_0040.png,g
42,handwriting_letters/images/u_0041.png,u
43,handwriting_letters/images/c_0042.png,c
44,handwriting_letters/images/p_0043.png,p
45,handwriting_letters/images/b_0044.png,b
46,handwriting_letters/images/t_0045.png,t
47,handwriting_letters/images/j_0046.png,j
48,handwriting_letters/images/l_0047.png,l
49,handwriting_letters/images/k_0048.png,k
50,handwriting_letters/images/t_0049.png,t
51,handwriting_letters/images/c_0050.png,c
52,handwriting_letters/images/f_0051.png,f
53,handwriting_letters/images/m_0052.png,m
54,handwriting_letters/images/o_0053.png,o
55,handwriting_letters/images/k_0054.png,k
56,handwriting_letters/images/d_0055.png,d
57,handwriting_letters/images/w_0056.png,w
58,handwriting_letters/images/l_0057.png,l
59,handwriting_letters/images/u_0058.png,u
60,handwriting_letters/images/a_0059.png,a
61,handwriting_letters/images/p_0060.png,p
62,handwriting_letters/images/n_0061.png,n
63,handwriting_letters/images/w_0062.png,w
64,handwriting_letters/images/j_0063.png,j
