id,image_path,true_letter,confused_with
1,letter_reversal/images/m_0567.png,m,w
2,letter_reversal/images/u_0288.png,u,n
3,letter_reversal/images/p_1196.png,p,q
4,letter_reversal/images/u_0278.png,u,n
5,letter_reversal/images/n_0202.png,n,u
6,letter_reversal/images/q_0975.png,q,p
7,letter_reversal/images/n_1963.png,n,u
8,letter_reversal/images/w_0709.png,w,m
9,letter_reversal/images/u_0196.png,u,n
10,letter_reversal/images/m_0419.png,m,w
11,letter_reversal/images/d_0571.png,d,b
12,letter_reversal/images/p_1382.png,p,q
13,letter_reversal/images/n_1961.png,n,u
14,letter_reversal/images/n_0784.png,n,u
15,letter_reversal/images/p_1086.png,p,q
16,letter_reversal/images/d_0780.png,d,b
17,letter_reversal/images/b_1616.png,b,d
18,letter_reversal/images/n_0185.png,n,u
19,letter_reversal/images/q_1579.png,q,p
20,letter_reversal/images/n_1937.png,n,u
21,letter_reversal/images/d_0881.png,d,b
22,letter_reversal/images/n_0183.png,n,u
23,letter_reversal/images/m_1274.png,m,w
24,letter_reversal/images/n_0551.png,n,u
25,letter_reversal/images/d_0336.png,d,b
26,letter_reversal/images/q_1365.png,q,p
27,letter_reversal/images/d_1731.png,d,b
28,letter_reversal/images/d_1910.png,d,b
29,letter_reversal/images/p_1990.png,p,q
30,letter_reversal/images/b_0920.png,b,d
31,letter_reversal/images/m_0680.png,m,w
32,letter_reversal/images/w_1544.png,w,m
33,letter_reversal/images/w_1151.png,w,m
34,letter_reversal/images/q_0755.png,q,p
35,letter_reversal/images/p_1882.png,p,q
36,letter_reversal/images/d_1861.png,d,b
37,letter_reversal/images/w_0107.png,w,m
38,letter_reversal/images/n_0800.png,n,u
39,letter_reversal/images/q_1424.png,q,p
40,letter_reversal/images/d_0949.png,d,b
41,letter_reversal/images/w_1446.png,w,m
42,letter_reversal/images/n_1811.png,n,u
43,letter_reversal/images/w_1288.png,w,m
44,letter_reversal/images/n_0251.png,n,u
45,letter_reversal/images/w_0362.png,w,m
46,letter_reversal/images/p_0513.png,p,q
47,letter_reversal/images/m_0759.png,m,w
48,letter_reversal/images/m_0176.png,m,w
49,letter_reversal/images/q_1531.png,q,p
50,letter_reversal/images/w_1778.png,w,m
51,letter_reversal/images/d_1204.png,d,b
52,letter_reversal/images/p_1234.png,p,q
53,letter_reversal/images/p_0456.png,p,q
54,letter_reversal/images/n_1871.png,n,u
55,letter_reversal/images/p_1765.png,p,q
56,letter_reversal/images/m_0665.png,m,w
57,letter_reversal/images/p_1529.png,p,q
58,letter_reversal/images/b_0488.png,b,d
59,letter_reversal/images/w_0171.png,w,m
60,letter_reversal/images/w_1909.png,w,m
61,letter_reversal/images/p_0002.png,p,q
62,letter_reversal/images/u_0016.png,u,n
63,letter_reversal/images/n_0252.png,n,u
64,letter_reversal/images/m_0526.png,m,w
65,letter_reversal/images/w_0321.png,w,m
66,letter_reversal/images/u_1648.png,u,n
67,letter_reversal/images/p_0043.png,p,q
68,letter_reversal/images/b_1460.png,b,d
69,letter_reversal/images/b_1132.png,b,d
70,letter_reversal/images/m_1842.png,m,w
71,letter_reversal/images/u_1238.png,u,n
72,letter_reversal/images/b_1143.png,b,d
73,letter_reversal/images/p_1883.png,p,q
74,letter_reversal/images/m_1808.png,m,w
75,letter_reversal/images/q_1258.png,q,p
76,letter_reversal/images/u_0631.png,u,n
77,letter_reversal/images/p_0957.png,p,q
78,letter_reversal/images/m_1012.png,m,w
79,letter_reversal/images/u_1516.png,u,n
80,letter_reversal/images/q_0583.png,q,p
81,letter_reversal/images/q_1932.png,q,p
82,letter_reversal/images/p_1254.png,p,q
83,letter_reversal/images/u_0112.png,u,n
84,letter_reversal/images/m_0165.png,m,w
85,letter_reversal/images/m_1912.png,m,w
86,letter_reversal/images/n_1221.png,n,u
87,letter_reversal/images/q_0319.png,q,p
88,letter_reversal/images/b_0839.png,b,d
89,letter_reversal/images/n_1606.png,n,u
90,letter_reversal/images/m_1673.png,m,w
91,letter_reversal/images/d_1624.png,d,b
92,letter_reversal/images/p_0331.png,p,q
93,letter_reversal/images/q_1361.png,q,p
94,letter_reversal/images/u_1906.png,u,n
95,letter_reversal/images/m_0824.png,m,w
96,letter_reversal/images/u_1903.png,u,n
97,letter_reversal/images/q_1994.png,q,p
98,letter_reversal/images/b_0173.png,b,d
99,letter_reversal/images/w_0891.png,w,m
100,letter_reversal/images/w_0458.png,w,m
101,letter_reversal/images/b_1948.png,b,d
102,letter_reversal/images/d_0298.png,d,b
103,letter_reversal/images/m_1509.png,m,w
104,letter_reversal/images/m_0158.png,m,w
105,letter_reversal/images/p_1062.png,p,q
106,letter_reversal/images/p_1237.png,p,q
107,letter_reversal/images/b_1138.png,b,d
108,letter_reversal/images/q_1224.png,q,p
109,letter_reversal/images/w_1019.png,w,m
110,letter_reversal/images/d_0245.png,d,b
111,letter_reversal/images/u_0015.png,u,n
112,letter_reversal/images/m_1899.png,m,w
113,letter_reversal/images/d_1888.png,d,b
114,letter_reversal/images/b_1847.png,b,d
115,letter_reversal/images/n_1402.png,n,u
116,letter_reversal/images/b_0194.png,b,d
117,letter_reversal/images/m_0406.png,m,w
118,letter_reversal/images/b_0711.png,b,d
119,letter_reversal/images/n_1229.png,n,u
120,letter_reversal/images/n_0964.png,n,u
121,letter_reversal/images/b_1617.png,b,d
122,letter_reversal/images/b_0531.png,b,d
123,letter_reversal/images/w_0670.png,w,m
124,letter_reversal/images/b_0104.png,b,d
125,letter_reversal/images/m_0895.png,m,w
126,letter_reversal/images/q_0983.png,q,p
127,letter_reversal/images/w_0751.png,w,m
128,letter_reversal/images/m_1079.png,m,w
129,letter_reversal/images/u_0605.png,u,n
130,letter_reversal/images/w_1259.png,w,m
131,letter_reversal/images/n_0215.png,n,u
132,letter_reversal/images/u_0461.png,u,n
133,letter_reversal/images/n_1459.png,n,u
134,letter_reversal/images/w_0627.png,w,m
135,letter_reversal/images/w_0770.png,w,m
136,letter_reversal/images/b_1728.png,b,d
137,letter_reversal/images/d_1970.png,d,b
138,letter_reversal/images/m_0468.png,m,w
139,letter_reversal/images/d_0396.png,d,b
140,letter_reversal/images/u_0292.png,u,n
141,letter_reversal/images/m_1506.png,m,w
142,letter_reversal/images/b_1364.png,b,d
143,letter_reversal/images/d_1545.png,d,b
144,letter_reversal/images/b_0211.png,b,d
145,letter_reversal/images/q_1113.png,q,p
146,letter_reversal/images/q_0852.png,q,p
147,letter_reversal/images/q_0829.png,q,p
148,letter_reversal/images/w_1282.png,w,m
149,letter_reversal/images/w_0903.png,w,m
150,letter_reversal/images/u_1571.png,u,n
151,letter_reversal/images/w_0807.png,w,m
152,letter_reversal/images/d_1295.png,d,b
153,letter_reversal/images/q_0507.png,q,p
154,letter_reversal/images/w_0348.png,w,m
155,letter_reversal/images/n_0666.png,n,u
156,letter_reversal/images/d_1386.png,d,b
157,letter_reversal/images/n_0122.png,n,u
158,letter_reversal/images/d_0873.png,d,b
159,letter_reversal/images/b_0700.png,b,d
160,letter_reversal/images/n_1280.png,n,u
161,letter_reversal/images/w_0312.png,w,m
162,letter_reversal/images/w_1497.png,w,m
163,letter_reversal/images/d_1377.png,d,b
164,letter_reversal/images/w_0640.png,w,m
165,letter_reversal/images/q_0229.png,q,p
166,letter_reversal/images/b_0679.png,b,d
167,letter_reversal/images/d_0496.png,d,b
168,letter_reversal/images/p_0634.png,p,q
169,letter_reversal/images/w_0116.png,w,m
170,letter_reversal/images/u_0933.png,u,n
171,letter_reversal/images/n_0501.png,n,u
172,letter_reversal/images/d_0877.png,d,b
173,letter_reversal/images/d_1381.png,d,b
174,letter_reversal/images/u_0149.png,u,n
175,letter_reversal/images/m_0857.png,m,w
176,letter_reversal/images/p_1685.png,p,q
177,letter_reversal/images/u_1487.png,u,n
178,letter_reversal/images/q_1547.png,q,p
179,letter_reversal/images/d_0511.png,d,b
180,letter_reversal/images/b_0480.png,b,d
181,letter_reversal/images/m_0590.png,m,w
182,letter_reversal/images/b_0519.png,b,d
183,letter_reversal/images/b_0072.png,b,d
184,letter_reversal/images/u_0234.png,u,n
185,letter_reversal/images/b_1557.png,b,d
186,letter_reversal/images/q_1130.png,q,p
187,letter_reversal/images/p_0440.png,p,q
188,letter_reversal/images/d_0209.png,d,b
189,letter_reversal/images/b_1016.png,b,d
190,letter_reversal/images/u_1218.png,u,n
191,letter_reversal/images/w_1784.png,w,m
192,letter_reversal/images/m_0296.png,m,w
193,letter_reversal/images/w_0310.png,w,m
194,letter_reversal/images/u_0041.png,u,n
195,letter_reversal/images/b_0020.png,b,d
196,letter_reversal/images/u_0282.png,u,n
197,letter_reversal/images/q_0738.png,q,p
198,letter_reversal/images/m_0970.png,m,w
199,letter_reversal/images/m_1324.png,m,w
200,letter_reversal/images/b_0692.png,b,d
201,letter_reversal/images/m_0662.png,m,w
202,letter_reversal/images/w_0446.png,w,m
203,letter_reversal/images/w_0338.png,w,m
204,letter_reversal/images/m_1286.png,m,w
205,letter_reversal/images/p_1798.png,p,q
206,letter_reversal/images/b_0995.png,b,d
207,letter_reversal/images/u_1759.png,u,n
208,letter_reversal/images/p_1156.png,p,q
209,letter_reversal/images/m_0782.png,m,w
210,letter_reversal/images/b_1165.png,b,d
211,letter_reversal/images/w_1368.png,w,m
212,letter_reversal/images/b_1353.png,b,d
213,letter_reversal/images/q_1575.png,q,p
214,letter_reversal/images/q_1033.png,q,p
215,letter_reversal/images/n_0981.png,n,u
216,letter_reversal/images/q_1993.png,q,p
217,letter_reversal/images/q_1688.png,q,p
218,letter_reversal/images/m_0130.png,m,w
219,letter_reversal/images/n_0897.png,n,u
220,letter_reversal/images/q_0181.png,q,p
221,letter_reversal/images/u_1631.png,u,n
222,letter_reversal/images/q_1813.png,q,p
223,letter_reversal/images/w_1077.png,w,m
224,letter_reversal/images/d_1851.png,d,b
225,letter_reversal/images/u_0556.png,u,n
226,letter_reversal/images/u_0797.png,u,n
227,letter_reversal/images/n_0697.png,n,u
228,letter_reversal/images/d_0789.png,d,b
229,letter_reversal/images/p_1793.png,p,q
230,letter_reversal/images/w_0000.png,w,m
231,letter_reversal/images/m_0075.png,m,w
232,letter_reversal/images/n_0725.png,n,u
233,letter_reversal/images/n_1892.png,n,u
234,letter_reversal/images/m_0885.png,m,w
235,letter_reversal/images/d_1418.png,d,b
236,letter_reversal/images/u_1328.png,u,n
237,letter_reversal/images/m_0006.png,m,w
238,letter_reversal/images/w_0465.png,w,m
239,letter_reversal/images/p_0277.png,p,q
240,letter_reversal/images/p_1491.png,p,q
241,letter_reversal/images/u_1103.png,u,n
242,letter_reversal/images/w_0208.png,w,m
243,letter_reversal/images/m_0573.png,m,w
244,letter_reversal/images/p_1559.png,p,q
245,letter_reversal/images/d_0775.png,d,b
246,letter_reversal/images/b_1508.png,b,d
247,letter_reversal/images/m_1669.png,m,w
248,letter_reversal/images/m_0727.png,m,w
249,letter_reversal/images/b_1738.png,b,d
250,letter_reversal/images/d_1357.png,d,b
251,letter_reversal/images/q_0135.png,q,p
252,letter_reversal/images/p_0603.png,p,q
253,letter_reversal/images/d_0720.png,d,b
254,letter_reversal/images/u_0281.png,u,n
255,letter_reversal/images/w_1200.png,w,m
256,letter_reversal/images/w_0157.png,w,m
257,letter_reversal/images/n_1409.png,n,u
