letter,step1,step2,step3
o,Start at top,Draw main stroke,Finish stroke
d,Start at top,Draw main stroke,Finish stroke
b,Start at top,Draw main stroke,Finish stroke
h,Start at top,Draw main stroke,Finish stroke
c,Start at top,Draw main stroke,Finish stroke
l,Start at top,Draw main stroke,Finish stroke
u,Start at top,Draw main stroke,Finish stroke
d,Start at top,Draw main stroke,Finish stroke
p,Start at top,Draw main stroke,Finish stroke
m,Start at top,Draw main stroke,Finish stroke
c,Start at top,Draw main stroke,Finish stroke
s,Start at top,Draw main stroke,Finish stroke
y,Start at top,Draw main stroke,Finish stroke
i,Start at top,Draw main stroke,Finish stroke
e,Start at top,Draw main stroke,Finish stroke
v,Start at top,Draw main stroke,Finish stroke
g,Start at top,Draw main stroke,Finish stroke
w,Start at top,Draw main stroke,Finish stroke
m,Start at top,Draw main stroke,Finish stroke
w,Start at top,Draw main stroke,Finish stroke
j,Start at top,Draw main stroke,Finish stroke
f,Start at top,Draw main stroke,Finish stroke
f,Start at top,Draw main stroke,Finish stroke
z,Start at top,Draw main stroke,Finish stroke
n,Start at top,Draw main stroke,Finish stroke
k,Start at top,Draw main stroke,Finish stroke
k,Start at top,Draw main stroke,Finish stroke
u,Start at top,Draw main stroke,Finish stroke
h,Start at top,Draw main stroke,Finish stroke
k,Start at top,Draw main stroke,Finish stroke
p,Start at top,Draw main stroke,Finish stroke
z,Start at top,Draw main stroke,Finish stroke
f,Start at top,Draw main stroke,Finish stroke
l,Start at top,Draw main stroke,Finish stroke
j,Start at top,Draw main stroke,Finish stroke
x,Start at top,Draw main stroke,Finish stroke
b,Start at top,Draw main stroke,Finish stroke
x,Start at top,Draw main stroke,Finish stroke
q,Start at top,Draw main stroke,Finish stroke
q,Start at top,Draw main stroke,Finish stroke
t,Start at top,Draw main stroke,Finish stroke
t,Start at top,Draw main stroke,Finish stroke
x,Start at top,Draw main stroke,Finish stroke
i,Start at top,Draw main stroke,Finish stroke
c,Start at top,Draw main stroke,Finish stroke
j,Start at top,Draw main stroke,Finish stroke
q,Start at top,Draw main stroke,Finish stroke
y,Start at top,Draw main stroke,Finish stroke
i,Start at top,Draw main stroke,Finish stroke
y,Start at top,Draw main stroke,Finish stroke
i,Start at top,Draw main stroke,Finish stroke
h,Start at top,Draw main stroke,Finish stroke
i,Start at top,Draw main stroke,Finish stroke
i,Start at top,Draw main stroke,Finish stroke
k,Start at top,Draw main stroke,Finish stroke
x,Start at top,Draw main stroke,Finish stroke
w,Start at top,Draw main stroke,Finish stroke
m,Start at top,Draw main stroke,Finish stroke
c,Start at top,Draw main stroke,Finish stroke
l,Start at top,Draw main stroke,Finish stroke
f,Start at top,Draw main stroke,Finish stroke
o,Start at top,Draw main stroke,Finish stroke
r,Start at top,Draw main stroke,Finish stroke
y,Start at top,Draw main stroke,Finish stroke
p,Start at top,Draw main stroke,Finish stroke
e,Start at top,Draw main stroke,Finish stroke
v,Start at top,Draw main stroke,Finish stroke
e,Start at top,Draw main stroke,Finish stroke
v,Start at top,Draw main stroke,Finish stroke
w,Start at top,Draw main stroke,Finish stroke
t,Start at top,Draw main stroke,Finish stroke
v,Start at top,Draw main stroke,Finish stroke
y,Start at top,Draw main stroke,Finish stroke
j,Start at top,Draw main stroke,Finish stroke
c,Start at top,Draw main stroke,Finish stroke
b,Start at top,Draw main stroke,Finish stroke
r,Start at top,Draw main stroke,Finish stroke
s,Start at top,Draw main stroke,Finish stroke
r,Start at top,Draw main stroke,Finish stroke
h,Start at top,Draw main stroke,Finish stroke
n,Start at top,Draw main stroke,Finish stroke
v,Start at top,Draw main stroke,Finish stroke
h,Start at top,Draw main stroke,Finish stroke
h,Start at top,Draw main stroke,Finish stroke
r,Start at top,Draw main stroke,Finish stroke
g,Start at top,Draw main stroke,Finish stroke
d,Start at top,Draw main stroke,Finish stroke
y,Start at top,Draw main stroke,Finish stroke
d,Start at top,Draw main stroke,Finish stroke
m,Start at top,Draw main stroke,Finish stroke
x,Start at top,Draw main stroke,Finish stroke
o,Start at top,Draw main stroke,Finish stroke
y,Start at top,Draw main stroke,Finish stroke
s,Start at top,Draw main stroke,Finish stroke
t,Start at top,Draw main stroke,Finish stroke
s,Start at top,Draw main stroke,Finish stroke
l,Start at top,Draw main stroke,Finish stroke
u,Start at top,Draw main stroke,Finish stroke
b,Start at top,Draw main stroke,Finish stroke
y,Start at top,Draw main stroke,Finish stroke
s,Start at top,Draw main stroke,Finish stroke
l,Start at top,Draw main stroke,Finish stroke
x,Start at top,Draw main stroke,Finish stroke
w,Start at top,Draw main stroke,Finish stroke
f,Start at top,Draw main stroke,Finish stroke
e,Start at top,Draw main stroke,Finish stroke
i,Start at top,Draw main stroke,Finish stroke
j,Start at top,Draw main stroke,Finish stroke
a,Start at top,Draw main stroke,Finish stroke
r,Start at top,Draw main stroke,Finish stroke
b,Start at top,Draw main stroke,Finish stroke
j,Start at top,Draw main stroke,Finish stroke
m,Start at top,Draw main stroke,Finish stroke
n,Start at top,Draw main stroke,Finish stroke
n,Start at top,Draw main stroke,Finish stroke
w,Start at top,Draw main stroke,Finish stroke
w,Start at top,Draw main stroke,Finish stroke
u,Start at top,Draw main stroke,Finish stroke
q,Start at top,Draw main stroke,Finish stroke
q,Start at top,Draw main stroke,Finish stroke
