number,step1,step2,step3
6,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
9,Start at top,Draw curve/line,Finish shape
9,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
5,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
5,Start at top,Draw curve/line,Finish shape
9,Start at top,Draw curve/line,Finish shape
3,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
3,Start at top,Draw curve/line,Finish shape
1,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
1,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
3,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
5,Start at top,Draw curve/line,Finish shape
0,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
0,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
3,Start at top,Draw curve/line,Finish shape
3,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
0,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
0,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
5,Start at top,Draw curve/line,Finish shape
3,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
5,Start at top,Draw curve/line,Finish shape
3,Start at top,Draw curve/line,Finish shape
3,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
5,Start at top,Draw curve/line,Finish shape
5,Start at top,Draw curve/line,Finish shape
5,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
5,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
1,Start at top,Draw curve/line,Finish shape
1,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
1,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
3,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
3,Start at top,Draw curve/line,Finish shape
0,Start at top,Draw curve/line,Finish shape
1,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
0,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
1,Start at top,Draw curve/line,Finish shape
3,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
0,Start at top,Draw curve/line,Finish shape
0,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
0,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
3,Start at top,Draw curve/line,Finish shape
9,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
9,Start at top,Draw curve/line,Finish shape
1,Start at top,Draw curve/line,Finish shape
4,Start at top,Draw curve/line,Finish shape
9,Start at top,Draw curve/line,Finish shape
9,Start at top,Draw curve/line,Finish shape
6,Start at top,Draw curve/line,Finish shape
7,Start at top,Draw curve/line,Finish shape
2,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
8,Start at top,Draw curve/line,Finish shape
9,Start at top,Draw curve/line,Finish shape
