id,grapheme,phoneme,example_word
1,bl,/bl/,blue
2,bl,/bl/,blue
3,n,/n/,net
4,ph,/f/,phone
5,x,/ks/,box
6,v,/v/,van
7,ee,/iː/,tree
8,l,/l/,lamp
9,o,/ɒ/,orange
10,b,/b/,ball
11,bl,/bl/,blue
12,ai,/eɪ/,rain
13,u,/ʌ/,umbrella
14,i,/ɪ/,ink
15,t,/t/,top
16,e,/ɛ/,egg
17,r,/r/,rat
18,cr,/kr/,crab
19,oa,/oʊ/,boat
20,c,/k/,cat
21,n,/n/,net
22,oa,/oʊ/,boat
23,o,/ɒ/,orange
24,oo,/uː/,moon
25,k,/k/,kite
26,w,/w/,watch
27,f,/f/,fish
28,s,/s/,sun
29,ai,/eɪ/,rain
30,sh,/ʃ/,ship
31,ph,/f/,phone
32,w,/w/,watch
33,t,/t/,top
34,o,/ɒ/,orange
35,r,/r/,rat
36,w,/w/,watch
37,oa,/oʊ/,boat
38,wh,/w/,what
39,t,/t/,top
40,f,/f/,fish
41,s,/s/,sun
42,s,/s/,sun
43,q,/kw/,queen
44,z,/z/,zebra
45,m,/m/,man
46,oo,/uː/,moon
47,n,/n/,net
48,r,/r/,rat
49,bl,/bl/,blue
50,l,/l/,lamp
51,l,/l/,lamp
52,sh,/ʃ/,ship
53,ch,/ʧ/,chair
54,y,/j/,yak
55,oa,/oʊ/,boat
56,wh,/w/,what
57,ai,/eɪ/,rain
58,q,/kw/,queen
59,o,/ɒ/,orange
60,n,/n/,net
61,d,/d/,dog
62,c,/k/,cat
63,s,/s/,sun
64,z,/z/,zebra
65,oa,/oʊ/,boat
66,l,/l/,lamp
67,e,/ɛ/,egg
68,l,/l/,lamp
69,k,/k/,kite
70,ai,/eɪ/,rain
71,h,/h/,hat
72,oa,/oʊ/,boat
73,g,/g/,goat
74,s,/s/,sun
75,bl,/bl/,blue
76,ee,/iː/,tree
77,m,/m/,man
78,m,/m/,man
79,t,/t/,top
80,ph,/f/,phone
81,x,/ks/,box
82,r,/r/,rat
83,bl,/bl/,blue
84,m,/m/,man
85,s,/s/,sun
86,h,/h/,hat
87,ch,/ʧ/,chair
88,v,/v/,van
89,a,/æ/,apple
90,e,/ɛ/,egg
91,ee,/iː/,tree
92,th,/θ/,think
93,o,/ɒ/,orange
94,i,/ɪ/,ink
95,f,/f/,fish
96,wh,/w/,what
97,t,/t/,top
98,o,/ɒ/,orange
99,n,/n/,net
100,z,/z/,zebra
101,x,/ks/,box
102,str,/str/,street
103,f,/f/,fish
104,ai,/eɪ/,rain
105,y,/j/,yak
106,n,/n/,net
107,b,/b/,ball
108,oa,/oʊ/,boat
109,ph,/f/,phone
110,z,/z/,zebra
111,i,/ɪ/,ink
112,bl,/bl/,blue
113,wh,/w/,what
114,e,/ɛ/,egg
115,t,/t/,top
116,x,/ks/,box
117,ch,/ʧ/,chair
118,c,/k/,cat
119,g,/g/,goat
120,bl,/bl/,blue
121,i,/ɪ/,ink
122,oa,/oʊ/,boat
123,ph,/f/,phone
124,bl,/bl/,blue
125,u,/ʌ/,umbrella
126,p,/p/,pen
127,t,/t/,top
128,p,/p/,pen
129,w,/w/,watch
130,oa,/oʊ/,boat
131,cr,/kr/,crab
132,f,/f/,fish
133,w,/w/,watch
134,j,/ʤ/,jam
135,q,/kw/,queen
136,wh,/w/,what
137,ch,/ʧ/,chair
138,g,/g/,goat
139,u,/ʌ/,umbrella
140,l,/l/,lamp
141,ai,/eɪ/,rain
142,ee,/iː/,tree
143,oa,/oʊ/,boat
144,cr,/kr/,crab
145,wh,/w/,what
146,l,/l/,lamp
147,n,/n/,net
148,c,/k/,cat
149,q,/kw/,queen
150,str,/str/,street
151,u,/ʌ/,umbrella
152,oa,/oʊ/,boat
153,sh,/ʃ/,ship
154,oa,/oʊ/,boat
155,a,/æ/,apple
156,g,/g/,goat
157,oa,/oʊ/,boat
158,ee,/iː/,tree
159,x,/ks/,box
160,s,/s/,sun
161,g,/g/,goat
162,v,/v/,van
163,z,/z/,zebra
164,y,/j/,yak
165,n,/n/,net
166,h,/h/,hat
167,w,/w/,watch
168,ch,/ʧ/,chair
169,q,/kw/,queen
170,w,/w/,watch
171,l,/l/,lamp
172,oo,/uː/,moon
173,v,/v/,van
174,y,/j/,yak
175,ai,/eɪ/,rain
176,ph,/f/,phone
177,str,/str/,street
178,oa,/oʊ/,boat
179,ph,/f/,phone
180,h,/h/,hat
181,t,/t/,top
182,cr,/kr/,crab
183,oa,/oʊ/,boat
184,th,/θ/,think
185,y,/j/,yak
186,ph,/f/,phone
187,bl,/bl/,blue
188,s,/s/,sun
189,v,/v/,van
190,r,/r/,rat
191,o,/ɒ/,orange
192,sh,/ʃ/,ship
193,u,/ʌ/,umbrella
194,i,/ɪ/,ink
195,v,/v/,van
196,c,/k/,cat
197,t,/t/,top
198,d,/d/,dog
199,m,/m/,man
200,t,/t/,top
201,o,/ɒ/,orange
202,o,/ɒ/,orange
203,th,/θ/,think
204,l,/l/,lamp
205,oa,/oʊ/,boat
206,d,/d/,dog
207,ai,/eɪ/,rain
208,ee,/iː/,tree
209,m,/m/,man
210,wh,/w/,what
211,ch,/ʧ/,chair
212,e,/ɛ/,egg
213,str,/str/,street
214,s,/s/,sun
215,m,/m/,man
216,s,/s/,sun
217,j,/ʤ/,jam
218,z,/z/,zebra
219,x,/ks/,box
220,e,/ɛ/,egg
221,i,/ɪ/,ink
222,p,/p/,pen
223,e,/ɛ/,egg
224,y,/j/,yak
225,f,/f/,fish
226,w,/w/,watch
227,th,/θ/,think
228,e,/ɛ/,egg
229,oo,/uː/,moon
230,cr,/kr/,crab
231,h,/h/,hat
232,g,/g/,goat
233,l,/l/,lamp
234,d,/d/,dog
235,f,/f/,fish
236,f,/f/,fish
237,y,/j/,yak
238,t,/t/,top
239,str,/str/,street
240,f,/f/,fish
241,n,/n/,net
242,sh,/ʃ/,ship
243,q,/kw/,queen
244,j,/ʤ/,jam
245,ch,/ʧ/,chair
246,g,/g/,goat
247,oo,/uː/,moon
248,bl,/bl/,blue
249,y,/j/,yak
250,j,/ʤ/,jam
251,v,/v/,van
252,a,/æ/,apple
253,oo,/uː/,moon
254,d,/d/,dog
255,o,/ɒ/,orange
256,bl,/bl/,blue
257,c,/k/,cat
258,x,/ks/,box
259,n,/n/,net
260,th,/θ/,think
261,q,/kw/,queen
262,str,/str/,street
263,a,/æ/,apple
264,f,/f/,fish
265,ai,/eɪ/,rain
