word,vowels
cake,a-e
hot,o
note,o-e
cute,u-e
hot,o
cat,a
sit,i
cute,u-e
cute,u-e
cake,a-e
hot,o
cute,u-e
cake,a-e
bike,i-e
cat,a
note,o-e
sit,i
sit,i
hot,o
hot,o
note,o-e
note,o-e
note,o-e
cake,a-e
cake,a-e
note,o-e
cake,a-e
cat,a
hot,o
cup,u
bike,i-e
cup,u
cake,a-e
note,o-e
cake,a-e
note,o-e
note,o-e
cute,u-e
cute,u-e
cat,a
cake,a-e
sit,i
bed,e
hot,o
bed,e
cake,a-e
cake,a-e
cute,u-e
bike,i-e
sit,i
cup,u
cake,a-e
cute,u-e
bike,i-e
cup,u
cat,a
cup,u
cat,a
note,o-e
cute,u-e
cake,a-e
cup,u
bed,e
cake,a-e
cute,u-e
bike,i-e
hot,o
bike,i-e
cute,u-e
sit,i
cute,u-e
cute,u-e
cat,a
cute,u-e
bike,i-e
cat,a
cup,u
cat,a
bed,e
hot,o
cat,a
bike,i-e
note,o-e
sit,i
hot,o
cute,u-e
bike,i-e
cat,a
cat,a
bike,i-e
cup,u
cat,a
cat,a
cute,u-e
cat,a
bike,i-e
cat,a
hot,o
hot,o
cake,a-e
bike,i-e
note,o-e
cup,u
cat,a
bike,i-e
hot,o
hot,o
bed,e
note,o-e
cute,u-e
note,o-e
cake,a-e
hot,o
hot,o
note,o-e
note,o-e
sit,i
bike,i-e
bed,e
cat,a
