id,misspelled_word,correct_word,error_category
1,studxent,student,extra_letter
2,bceause,because,keyboard_error
3,knowlege,knowledge,missing_letter
4,edfinitely,definitely,keyboard_error
5,accessibiity,accessibility,missing_letter
6,lesarning,learning,extra_letter
7,educashun,education,phonetic_error
8,definitey,definitely,missing_letter
9,compuer,computer,missing_letter
10,beauatiful,beautiful,extra_letter
11,enviroynment,environment,extra_letter
12,tekhnology,technology,phonetic_error
13,bekause,because,phonetic_error
14,technologby,technology,extra_letter
15,definitly,definitely,missing_letter
16,bekause,because,phonetic_error
17,accessibiltiy,accessibility,keyboard_error
18,nkowledge,knowledge,keyboard_error
19,envirnoment,environment,keyboard_error
20,practiec,practice,keyboard_error
21,understandin,understanding,missing_letter
22,stduent,student,keyboard_error
23,understandin,understanding,missing_letter
24,earning,learning,missing_letter
25,beautiflu,beautiful,keyboard_error
26,knogwledge,knowledge,extra_letter
27,environemnt,environment,keyboard_error
28,accessibiliy,accessibility,missing_letter
29,eucation,education,missing_letter
30,edaucation,education,extra_letter
31,computre,computer,keyboard_error
32,bceause,because,keyboard_error
33,knowldege,knowledge,keyboard_error
34,accessiility,accessibility,missing_letter
35,anguage,language,missing_letter
36,understading,understanding,missing_letter
37,pracwtice,practice,extra_letter
38,educatio,education,missing_letter
39,eduaction,education,keyboard_error
40,techonlogy,technology,keyboard_error
41,learnign,learning,keyboard_error
42,understaning,understanding,missing_letter
43,irmportant,important,extra_letter
44,unhderstanding,understanding,extra_letter
45,definiitely,definitely,extra_letter
46,bcause,because,missing_letter
47,becaeuse,because,extra_letter
48,compter,computer,missing_letter
49,becuase,because,keyboard_error
50,langage,language,missing_letter
51,technoolgy,technology,keyboard_error
52,educashun,education,phonetic_error
53,knowledg,knowledge,missing_letter
54,learningb,learning,extra_letter
55,tchnology,technology,missing_letter
56,leanring,learning,keyboard_error
57,definiely,definitely,missing_letter
58,sytudent,student,extra_letter
59,environmejnt,environment,extra_letter
60,technolog,technology,missing_letter
61,learnnig,learning,keyboard_error
62,understandsing,understanding,extra_letter
63,environmen,environment,missing_letter
64,accessibilty,accessibility,missing_letter
65,bekause,because,phonetic_error
66,praktike,practice,phonetic_error
67,becasue,because,keyboard_error
68,technoolgy,technology,keyboard_error
69,tecshnology,technology,extra_letter
70,ractice,practice,missing_letter
71,knoweldge,knowledge,keyboard_error
72,accessibwility,accessibility,extra_letter
73,tekhnology,technology,phonetic_error
74,understandying,understanding,extra_letter
75,nkowledge,knowledge,keyboard_error
76,knowlefdge,knowledge,extra_letter
77,knoweldge,knowledge,keyboard_error
78,edcuation,education,keyboard_error
79,becacuse,because,extra_letter
80,pracice,practice,missing_letter
81,bercause,because,extra_letter
82,understandicng,understanding,extra_letter
83,nuderstanding,understanding,keyboard_error
84,educashun,education,phonetic_error
85,komputer,computer,phonetic_error
86,stludent,student,extra_letter
87,accesisbility,accessibility,keyboard_error
88,importantg,important,extra_letter
89,larning,learning,missing_letter
90,becuase,because,keyboard_error
91,undercstanding,understanding,extra_letter
92,bekause,because,phonetic_error
93,accessibliity,accessibility,keyboard_error
94,pratcice,practice,keyboard_error
95,enivronment,environment,keyboard_error
96,studnt,student,missing_letter
97,practisce,practice,extra_letter
98,comwputer,computer,extra_letter
99,environmen,environment,missing_letter
100,accessibilitiy,accessibility,extra_letter
101,definitelyb,definitely,extra_letter
102,miportant,important,keyboard_error
103,stuednt,student,keyboard_error
104,tekhnology,technology,phonetic_error
105,bautiful,beautiful,missing_letter
106,knwledge,knowledge,missing_letter
107,languaeg,language,keyboard_error
108,technologby,technology,extra_letter
109,becaues,because,keyboard_error
110,beatuiful,beautiful,keyboard_error
111,languaged,language,extra_letter
112,computr,computer,missing_letter
113,understnding,understanding,missing_letter
114,anguage,language,missing_letter
115,nkowledge,knowledge,keyboard_error
116,ducation,education,missing_letter
117,stdent,student,missing_letter
118,bemautiful,beautiful,extra_letter
119,definitelyh,definitely,extra_letter
120,defintely,definitely,missing_letter
121,accessibiliety,accessibility,extra_letter
122,compuetr,computer,keyboard_error
123,stdent,student,missing_letter
124,beautifl,beautiful,missing_letter
125,techonlogy,technology,keyboard_error
126,bautiful,beautiful,missing_letter
127,practiec,practice,keyboard_error
128,eduction,education,missing_letter
129,alnguage,language,keyboard_error
130,undersanding,understanding,missing_letter
131,tsudent,student,keyboard_error
132,bekause,because,phonetic_error
133,knolwedge,knowledge,keyboard_error
134,imposrtant,important,extra_letter
135,knowledgoe,knowledge,extra_letter
136,studnet,student,keyboard_error
137,defiintely,definitely,keyboard_error
138,bekcause,because,extra_letter
139,pratcice,practice,keyboard_error
140,beauktiful,beautiful,extra_letter
141,importanzt,important,extra_letter
142,practtice,practice,extra_letter
143,akkessibility,accessibility,phonetic_error
144,technoloyg,technology,keyboard_error
145,langugae,language,keyboard_error
146,acecssibility,accessibility,keyboard_error
147,ducation,education,missing_letter
148,sutdent,student,keyboard_error
149,caomputer,computer,extra_letter
150,imuportant,important,extra_letter
151,tekhnology,technology,phonetic_error
152,learninga,learning,extra_letter
153,languag,language,missing_letter
154,importanwt,important,extra_letter
155,underfstanding,understanding,extra_letter
156,importanlt,important,extra_letter
157,enironment,environment,missing_letter
158,educatoin,education,keyboard_error
159,educashun,education,phonetic_error
160,practic,practice,missing_letter
161,becaucse,because,extra_letter
162,accesisbility,accessibility,keyboard_error
163,knowlegde,knowledge,keyboard_error
164,evnironment,environment,keyboard_error
165,tecnology,technology,missing_letter
166,elarning,learning,keyboard_error
167,tecnology,technology,missing_letter
168,impotant,important,missing_letter
169,defniitely,definitely,keyboard_error
170,knowlegde,knowledge,keyboard_error
171,becuase,because,keyboard_error
172,ocmputer,computer,keyboard_error
173,knowldege,knowledge,keyboard_error
174,technolog,technology,missing_letter
175,edcation,education,missing_letter
176,knowledg,knowledge,missing_letter
177,computr,computer,missing_letter
178,beaputiful,beautiful,extra_letter
179,akkessibility,accessibility,phonetic_error
180,definitley,definitely,keyboard_error
181,beautiflu,beautiful,keyboard_error
182,computr,computer,missing_letter
183,knozwledge,knowledge,extra_letter
184,studenht,student,extra_letter
185,imporatnt,important,keyboard_error
186,bekause,because,phonetic_error
187,importnat,important,keyboard_error
188,akkessibility,accessibility,phonetic_error
189,practce,practice,missing_letter
190,deinitely,definitely,missing_letter
191,importatn,important,keyboard_error
192,leanring,learning,keyboard_error
193,accessibiflity,accessibility,extra_letter
194,knowledeg,knowledge,keyboard_error
195,beautifulf,beautiful,extra_letter
196,understnading,understanding,keyboard_error
197,learinng,learning,keyboard_error
198,tecnhology,technology,keyboard_error
199,comqputer,computer,extra_letter
200,accesibility,accessibility,missing_letter
201,defxinitely,definitely,extra_letter
202,envirnment,environment,missing_letter
203,iportant,important,missing_letter
204,educatoin,education,keyboard_error
205,undqerstanding,understanding,extra_letter
206,tekhnology,technology,phonetic_error
207,eductaion,education,keyboard_error
208,ilearning,learning,extra_letter
209,learnxing,learning,extra_letter
210,technlogy,technology,missing_letter
211,bzecause,because,extra_letter
212,wpractice,practice,extra_letter
213,beatiful,beautiful,missing_letter
214,praktike,practice,phonetic_error
215,technolog,technology,missing_letter
216,bekause,because,phonetic_error
217,praktike,practice,phonetic_error
218,importpant,important,extra_letter
219,environmen,environment,missing_letter
220,akkessibility,accessibility,phonetic_error
221,understandging,understanding,extra_letter
222,beautiul,beautiful,missing_letter
223,impotrant,important,keyboard_error
224,uderstanding,understanding,missing_letter
225,bekause,because,phonetic_error
226,accessibqility,accessibility,extra_letter
227,etchnology,technology,keyboard_error
228,improtant,important,keyboard_error
229,komputer,computer,phonetic_error
230,praktike,practice,phonetic_error
231,ecause,because,missing_letter
232,blecause,because,extra_letter
233,beautifu,beautiful,missing_letter
234,beatiful,beautiful,missing_letter
235,knwoledge,knowledge,keyboard_error
236,understandingr,understanding,extra_letter
237,practicpe,practice,extra_letter
238,praktike,practice,phonetic_error
239,praktike,practice,phonetic_error
240,accessibiliyt,accessibility,keyboard_error
241,studen,student,missing_letter
242,compute,computer,missing_letter
243,cmputer,computer,missing_letter
244,lcanguage,language,extra_letter
245,understading,understanding,missing_letter
246,mportant,important,missing_letter
247,ystudent,student,extra_letter
248,laenguage,language,extra_letter
249,tecnhology,technology,keyboard_error
250,environmenqt,environment,extra_letter
251,languge,language,missing_letter
252,becauose,because,extra_letter
253,definitelyp,definitely,extra_letter
254,comptuer,computer,keyboard_error
255,environmenqt,environment,extra_letter
256,compter,computer,missing_letter
257,nuderstanding,understanding,keyboard_error
258,environmentb,environment,extra_letter
259,educaiton,education,keyboard_error
260,ipmortant,important,keyboard_error
261,educxation,education,extra_letter
262,praktike,practice,phonetic_error
263,educatin,education,missing_letter
264,dcomputer,computer,extra_letter
265,technloogy,technology,keyboard_error
266,accessibiliyt,accessibility,keyboard_error
267,lerning,learning,missing_letter
268,acessibility,accessibility,missing_letter
269,stuent,student,missing_letter
270,accessibilityn,accessibility,extra_letter
271,definiteyl,definitely,keyboard_error
272,learningn,learning,extra_letter
273,definitxely,definitely,extra_letter
274,dfeinitely,definitely,keyboard_error
275,computher,computer,extra_letter
276,pbecause,because,extra_letter
277,languag,language,missing_letter
278,leqarning,learning,extra_letter
279,tcehnology,technology,keyboard_error
280,acessibility,accessibility,missing_letter
281,beauitful,beautiful,keyboard_error
282,educatiton,education,extra_letter
283,accessibiltiy,accessibility,keyboard_error
284,understandin,understanding,missing_letter
285,languge,language,missing_letter
286,beautifl,beautiful,missing_letter
287,sudent,student,missing_letter
288,beuatiful,beautiful,keyboard_error
289,tekhnology,technology,phonetic_error
290,accessibiliy,accessibility,missing_letter
291,stdent,student,missing_letter
292,becase,because,missing_letter
293,prctice,practice,missing_letter
294,becuse,because,missing_letter
295,beause,because,missing_letter
296,ncomputer,computer,extra_letter
297,educashun,education,phonetic_error
298,tcehnology,technology,keyboard_error
299,tsudent,student,keyboard_error
300,laerning,learning,keyboard_error
301,akkessibility,accessibility,phonetic_error
302,defintiely,definitely,keyboard_error
303,imoprtant,important,keyboard_error
304,beautifu,beautiful,missing_letter
305,educationi,education,extra_letter
306,ractice,practice,missing_letter
307,importnat,important,keyboard_error
308,understandig,understanding,missing_letter
309,knoweldge,knowledge,keyboard_error
310,ebautiful,beautiful,keyboard_error
311,mbecause,because,extra_letter
312,learnaing,learning,extra_letter
313,komputer,computer,phonetic_error
314,importwant,important,extra_letter
315,practcie,practice,keyboard_error
316,practcie,practice,keyboard_error
317,knwoledge,knowledge,keyboard_error
318,tcehnology,technology,keyboard_error
319,komputer,computer,phonetic_error
320,ebcause,because,keyboard_error
321,impotant,important,missing_letter
322,knowledgce,knowledge,extra_letter
323,computr,computer,missing_letter
324,enviroment,environment,missing_letter
325,beauiful,beautiful,missing_letter
326,evnironment,environment,keyboard_error
327,sudent,student,missing_letter
328,bcause,because,missing_letter
329,understanidng,understanding,keyboard_error
330,bekause,because,phonetic_error
331,practicse,practice,extra_letter
332,cmputer,computer,missing_letter
333,educashun,education,phonetic_error
334,tcehnology,technology,keyboard_error
335,learbning,learning,extra_letter
336,knowledeg,knowledge,keyboard_error
337,xpractice,practice,extra_letter
338,defiintely,definitely,keyboard_error
339,imporetant,important,extra_letter
340,educaton,education,missing_letter
341,compuetr,computer,keyboard_error
342,beuatiful,beautiful,keyboard_error
343,prctice,practice,missing_letter
344,stuent,student,missing_letter
345,enmvironment,environment,extra_letter
346,educatino,education,keyboard_error
347,definitelyp,definitely,extra_letter
348,improtant,important,keyboard_error
349,educatin,education,missing_letter
350,echnology,technology,missing_letter
351,learningu,learning,extra_letter
352,tekhnology,technology,phonetic_error
353,beatuiful,beautiful,keyboard_error
354,languagek,language,extra_letter
355,understandnig,understanding,keyboard_error
356,dfeinitely,definitely,keyboard_error
357,beacuse,because,keyboard_error
358,definitel,definitely,missing_letter
359,beautifuel,beautiful,extra_letter
360,importat,important,missing_letter
361,anguage,language,missing_letter
